// Created with X3 Editor 0.0.22
47;13;
28;163;0;0;0;0;2173;2;24;48;8;1;24;-100;1008;0;SS_WARE_F217;
28;164;0;0;0;1;2183;4;6;53;8;2;6;-100;1107;0;SS_WARE_F218;
28;165;0;0;0;2;2193;2;60;72;20;1;48;-100;1044;0;SS_WARE_F219;
28;173;0;0;0;3;2273;1;6;36;8;1;6;-100;1048;0;SS_WARE_F227;
28;174;0;0;0;4;2283;5;24;35;8;2;24;-100;1099;0;SS_WARE_F228;
28;177;0;0;0;5;2373;1;3;55;8;1;3;-100;1106;0;SS_WARE_F237;
28;178;0;0;0;6;2383;6;40;48;8;2;40;-100;1115;0;SS_WARE_F238;
28;401;0;0;0;7;2473;2;3;75;8;1;3;-100;1024;0;SS_WARE_F247;
28;402;0;0;0;8;2483;4;30;44;8;1;30;-100;1121;0;SS_WARE_F248;
28;406;0;0;0;9;2573;3;6;64;8;2;6;-100;1109;0;SS_WARE_F257;
28;407;0;0;0;10;2583;6;240;69;8;1;216;-100;1045;0;SS_WARE_F258;
28;163;0;0;0;0;15233;2;24;48;8;1;24;-100;1107;0;SS_WARE_TR_F5;
28;164;0;0;0;1;15243;4;6;53;8;2;6;-100;1098;0;SS_WARE_TR_F6;
